state;city;count
AZ;Mesa;2047
ON;Toronto;7667
WI;Middleton;137
AZ;Glendale;1192
NC;Gastonia;229
ON;Aurora;130
NC;Charlotte;3731
ON;Richmond Hill;491
QC;Lasalle;39
NV;Las Vegas;11711
QC;Montréal;3138
OH;Cleveland;1412
AZ;Phoenix;6231
PA;Plum;11
ON;Scarborough;421
PA;Pittsburgh;2832
AB;Calgary;2796
OH;Rocky River;91
ON;Milton;5
AZ;Tempe;1678
AZ;Scottsdale;2844
AZ;Chandler;1462
OH;Fairview Park;45
AZ;Gilbert;1238
PA;Avalon;5
ON;East York;48
WI;Cottage Grove;19
PA;Gibsonia;53
ON;Mississauga;1415
ON;Brampton;505
SC;Fort Mill;239
WI;Madison;1417
OH;Westlake;168
NC;Cornelius;175
AZ;Goodyear;317
OH;Streetsboro;62
AZ;Surprise;404
ON;Markham;736
OH;Lakewood;226
NV;North Las Vegas;615
SC;Rock Hill;126
OH;Strongsville;170
QC;Westmount;37
IL;Champaign;517
PA;Carnegie;45
OH;Parma Heights;33
IL;Urbana;144
PA;Coraopolis;67
OH;Chardon;41
NC;Concord;361
NC;Harrisburg;52
OH;Hudson;72
OH;Parma;150
NV;Henderson;1646
ON;North York;421
WI;Stoughton;42
WI;Oregon;26
OH;Chagrin Falls;68
ON;Etobicoke;272
QC;Saint-Laurent;66
OH;Pepper Pike;7
NC;Huntersville;230
AZ;Avondale;270
OH;North Olmsted;161
QC;Longueuil;45
OH;Twinsburg;55
OH;Beachwood;108
QC;Rosemere;3
OH;Willoughby;119
WI;Fitchburg;92
OH;Shaker Heights;33
WI;Waunakee;44
AZ;Peoria;707
OH;Willowick;29
QC;Montreal-Nord;3
QC;Laval;228
QC;Outremont;16
NC;Pineville;107
ON;Vaughan;453
OH;Elyria;104
OH;Brunswick;79
ON;Pickering;140
NC;Matthews;274
WI;Mc Farland;10
ON;Bradford;16
OH;Mentor On The Lake;6
QC;Boisbriand;12
WI;De Forest;13
OH;Avon;113
AZ;Tolleson;65
QC;Pierrefonds;27
ON;Whitby;143
OH;Bedford;31
AB;Rocky View;4
OH;South Euclid;35
OH;Bedford Heights;11
AZ;Laveen Village;5
NC;Mint Hill;45
OH;Stow;117
OH;Warrensville Heights;27
OH;Mentor;205
NC;Belmont;77
ON;Thornhill;181
OH;Mayfield Heights;77
OH;Macedonia;53
OH;Northfield;51
OH;Middleburg Heights;76
OH;Brecksville;39
ON;East Mississauga;2
QC;Pointe-Claire;42
AZ;Cave Creek;126
ON;Stouffville;32
NV;Boulder City;73
PA;New Kensington;31
OH;Painesville;72
PA;Monroeville;169
NC;Indian Trail;116
PA;Bridgeville;88
QC;Saint-Constant;4
IL;Tolono;2
QC;Brossard;109
NC;Denver;51
PA;Bethel Park;89
OH;LaGrange;2
NC;Kannapolis;48
PA;Homestead;48
PA;North Huntingdon;13
OH;Solon;81
ON;Maple;26
OH;Cleveland Heights;107
WI;Monona;53
OH;Broadview Heights;54
OH;Maple Heights;20
OH;Akron;226
PA;West Elizabeth;2
ON;Oakville;177
PA;Munhall;13
OH;Independence;66
ON;East Gwillimburry;1
PA;East Liberty;3
AB;Airdrie;70
OH;Grafton;6
PA;West Mifflin;65
NC;Davidson;46
OH;Fairlawn;55
OH;Kent;126
PA;Wexford;90
PA;Bellevue;19
OH;Richfield;18
PA;Arnold;2
ON;Ajax;132
NC;Waxhaw;59
OH;Avon Lake;56
OH;Berea;49
OH;Medina;140
QC;Saint-Jean-sur-Richelieu;15
ON;Newmarket;152
WI;Sun Prairie;105
QC;Dorval;42
QC;Dollard-des-Ormeaux;48
ON;Woodbridge;93
PA;Oakmont;16
OH;Copley;23
OH;Brook Park;28
OH;Wickliffe;36
AZ;Youngtown;24
PA;Cheswick;9
AZ;Buckeye;26
