state;city;postal_code;open_p50;open_p95;close_p50;close_p95
NC;Cornelius;28031;219600.0;415247.8710937499;385200.0;563883.75
NV;North Las Vegas;89030;223200.0;660430.546875;381600.0;473456.25
AZ;Mesa;85205;406800.0;723526.875;198000.0;431572.5
AZ;Gilbert;85233;331200.0;535679.9999999999;273600.0;455849.99999999994
NV;Las Vegas;89118;269100.0;432180.0;335700.0;475824.375
AZ;Mesa;85209;167400.0;463387.5;437400.0;495225.0
IL;Champaign;61820;228600.0;617793.75;376200.0;481747.5
ON;Toronto;M8Z 5G3;387000.0;387000.0;217800.0;217800.0
AB;Calgary;T2J 2P2;216000.0;216000.0;388800.0;388800.0
PA;Pittsburgh;15226;219600.0;650519.9999999999;385200.0;451732.5
WI;Middleton;53562;252000.0;430059.375;352800.0;494525.830078125
AZ;Chandler;85226;273600.0;648450.0;331200.0;430036.5234375
NV;North Las Vegas;89031;225000.0;738944.9999999998;379800.0;496777.5
NV;Henderson;89052;264600.0;633690.0;340200.0;466582.5
SC;Rock Hill;29730;233100.0;854279.9999999995;371700.0;454927.5
AZ;Mesa;85212;237600.0;878847.8906249999;367200.0;501412.5
AZ;Glendale;85301;391500.0;606109.5620727539;213300.0;498645.703125
NC;Gastonia;28054;162000.0;452115.6372070312;442800.0;465120.0
ON;Aurora;L4G 7J1;273600.0;548100.0;331200.0;390780.0
ON;Toronto;M5B 1R4;268200.0;460979.99999999994;336600.0;341460.0
NC;Charlotte;28212;280800.0;510704.99999999965;324000.0;435213.28124999994
AZ;Phoenix;85032;252000.0;681292.5292968749;352800.0;523800.0
ON;Toronto;M8W 4W3;126000.0;126000.0;478800.0;478800.0
ON;Richmond Hill;L4E 1A5;259200.0;379079.99999999994;345600.0;407160.0
QC;Lasalle;H8P 1B4;352800.0;352800.0;252000.0;252000.0
AZ;Mesa;85201;259200.0;581664.375;345600.0;512302.5
AZ;Surprise;85374;245700.0;392017.49999999994;359100.0;491535.0302124023
AZ;Phoenix;85006;172800.0;515385.0;432000.0;529995.234375
PA;Pittsburgh;15222;253800.0;514709.99999999994;351000.0;502897.5
NC;Concord;28027;257400.0;438581.25;347400.0;455507.0755004883
OH;Cleveland;44114;277200.0;417780.0;327600.0;540393.75
AZ;Tempe;85282;183600.0;508889.7833404541;421200.0;496530.0
QC;Montréal;H2P 1E2;433800.0;433800.0;171000.0;171000.0
ON;Concord;L4K 5W4;266400.0;305640.0;338400.0;338400.0
AZ;Anthem;85086;277200.0;538199.9999999999;327600.0;451439.99999999994
OH;Cleveland;44128;208800.0;675731.25;396000.0;531146.25
AZ;Phoenix;85020;198000.0;694709.9999999999;406800.0;522990.0
OH;Cleveland;44113;205200.0;384705.0;399600.0;507239.99999999994
AZ;Scottsdale;85254;214200.0;330300.0;390600.0;549562.5
AZ;Phoenix;85033;281700.0;726389.9999999999;323100.0;413554.21875
AB;Calgary;T1Y 5Y9;225000.0;552959.9999999999;379800.0;420120.0
AZ;Phoenix;85040;194400.0;653940.0;410400.0;500625.0
NC;Charlotte;28262;230400.0;748080.0;374400.0;533070.0
NV;Las Vegas;89101;210600.0;692187.0556640625;394200.0;501655.78125
PA;Plum;15239;183600.0;415800.0;421200.0;513540.0
AZ;Gilbert;85295;248400.0;522787.5;356400.0;468225.0
NV;Las Vegas;89106;280800.0;424800.0;324000.0;455580.0
ON;Scarborough;M1T 3K5;199800.0;240300.0;405000.0;445500.0
NV;Las Vegas;89128;265500.0;604800.0;339300.0;470947.5
PA;Pittsburgh;15206;214200.0;409896.56249999994;390600.0;512279.99999999994
AZ;Gilbert;85297;166500.0;583486.875;438300.0;556469.9999999999
AZ;Scottsdale;85260;219600.0;408892.4999999998;385200.0;482024.00390625
NC;Charlotte;28202;162000.0;406800.0;442800.0;529200.0
ON;Toronto;M4M 1Y3;244800.0;559800.0;360000.0;450900.0
ON;Toronto;M1E 4X6;28800.0;28800.0;576000.0;576000.0
ON;Toronto;M2N 1M7;205200.0;279720.0;399600.0;474120.0
ON;Toronto;M5T 2C2;250200.0;589635.0;354600.0;464467.5
NV;Las Vegas;89109;269100.0;687217.4999999999;335700.0;546570.0
NC;Charlotte;28277;260100.0;439173.9843749999;344700.0;452967.1875
AB;Calgary;T2P 0J8;108000.0;108000.0;496800.0;496800.0
OH;Strongsville;44136;262800.0;467122.49999999994;342000.0;500760.0
NC;Mint Hill;28227;242100.0;658640.91796875;362700.0;524854.6875
AB;Calgary;T2G 4P7;0.0;0.0;604800.0;604800.0
ON;Woodbridge;L4L 4Y5;208800.0;258480.0;396000.0;426240.0
IL;Champaign;61822;248400.0;559020.9374999999;356400.0;465224.0625
