state;city;postal_code;business_id;cool_reviews
NV;North Las Vegas;89030;7NX8yDzFMPs35RtlPLcsBA;140
AZ;Mesa;85205;SKBoJJE0l8Bvd5mIDPuEDQ;214
AZ;Gilbert;85233;0yBXiYnmkvTWlil4caZQ5w;58
NV;Las Vegas;89118;koSc5fxyvEvUpUYu7FM9hg;148
AZ;Mesa;85209;QBLOdeMk7pd9IiH2zu79Ig;27
IL;Champaign;61820;-zEpEmDfFQL-ph0N3BDlXA;103
AB;Calgary;T2J 2P2;MbZMmwo-eL0Jnm_Yb9KJrA;0
PA;Pittsburgh;15226;ytU-tGhd5ZW9ouWW6JHpMg;16
AZ;Chandler;85226;z_lDO8d8nkSmcvTjB4N69A;103
SC;Rock Hill;29730;lRMM0iR_H0MA7w6ZnDqQMw;32
AZ;Mesa;85212;yKaIT0fnxEj0YVr1DMHvuQ;82
NC;Charlotte;28212;ieL2bzG1mQ_4wbWZ9Y3mVg;25
AZ;Phoenix;85032;oZcbn7ENit23xbCsyu9xbA;192
ON;Toronto;M8W 4W3;007Dg4ESDVacWcC4Vq704Q;2
AZ;Phoenix;85006;rbywwnfMjFjJwLQkgpdIEw;151
PA;Pittsburgh;15222;u4sTiCzVeIHZY8OlaL346Q;397
AZ;Scottsdale;85254;0nyM_mub7LxN6Dx7tYpMaA;111
AB;Calgary;T1Y 5Y9;rdg0b0tHKvSCQNl6u3tS_A;2
AZ;Phoenix;85040;aIZQF2UCLv6ru-zsPK4H2Q;103
ON;Scarborough;M1T 3K5;gxuuoy2cIBwPer1vC960tQ;1
NV;Las Vegas;89128;ZgWjkMSzIV9fAuJJQXSUvA;120
AZ;Gilbert;85297;40cI2Z3mW2CtBmwMui0klw;48
NC;Charlotte;28202;3C0bnFhjkgYP9mWORKg6cA;155
ON;Toronto;M1E 4X6;OT-8IUWo_2M-rHddjzz_Cg;1
ON;Toronto;M5T 2C2;5jtxiHzuaFLoJxevfJNxRQ;15
NC;Charlotte;28277;SzlzAjBwFcdbOwRPjNxaxw;79
AB;Calgary;T2P 0J8;RrapAhd8ZxCj-iue7fu9FA;0
NC;Mint Hill;28227;ygH-ZrRTk0QtD3ok3nnhbw;13
NV;Las Vegas;89109;WUq8HJHIZU4uteB154XN7w;1003
QC;Montréal;H2L 3L2;6GHwgKNlvfIMUpFaxgBjUA;4
AZ;Scottsdale;85257;2KadiQLTen9_mN_dXgKR5A;152
IL;Champaign;61822;U8VXQaeog9wb_Y6hCkfitg;11
QC;Montréal;H4C 1S5;O1P4x0RgJWb6WaetkNqfEA;28
AZ;Chandler;85224;L9pTWWAATj7HoLaRe6ZA1Q;125
NV;Las Vegas;89102;SAIrNOB4PtDA4gziNCucwg;521
AZ;Tempe;85281;5FIOXmUE3qMviX9GafGH-Q;367
AZ;Scottsdale;85255;1guXy9zezoqBX-bxnT_F6Q;57
AZ;Phoenix;85016;90bL34o2KEes9pUnCOm7pQ;286
AZ;Phoenix;85048;MgbjD3OrQpFRIop1jQ9NvA;26
NC;Charlotte;28273;G7QGwPZjCVmvcEsC3ARoYg;68
NV;Henderson;89014;QhXBIQWUmQxuVErdwY2QVw;122
AB;Calgary;T3E 5R7;IDps0maWjUXIj7JBuhaZIw;2
NV;Las Vegas;89104;R_ZlcX46pPdjhjmfd043LA;408
ON;Toronto;M3H 3P7;xSveVu4UWuyayq8HFlf9KA;6
AZ;Chandler;85225;vdo6W3PEwiMSynjdxSiv4g;97
NC;Charlotte;28217;s6lTNO57vXsfzyYrPfXOvA;104
PA;Pittsburgh;15206;e2zO5THDYoDOcyXcWnQv5w;129
WI;Cottage Grove;53527;0AkVXPlKLfLFBEvzQY4WHA;5
ON;Brampton;L6X 4R9;d4EDoV-VQp4Q-qPMr3Bbfg;1
AZ;Goodyear;85338;vyiIeaO7F58Cns9LWVIEHw;72
AZ;Scottsdale;85250;iPPzDL_oY8SJCjmycuXcVg;97
NV;Las Vegas;89120;YjVFXJTPuBcNrOZi0f5XSg;74
NC;Cornelius;28031;MhGezUHeUM_0qMMPGLAlCg;47
NV;North Las Vegas;89032;oZJHJieidHz-zuGL7lBMpg;53
NC;Gastonia;28056;F_eQ1dpPGHM0vYUrKXKSLQ;11
NV;Las Vegas;89123;Tjbd3oTRXs9ZdItF_cLJMQ;220
AZ;Chandler;85249;_9Oh4NYx5Yjd4tG2_HWQww;70
PA;Carnegie;15106;eMIX3ldCrPJymVenND0sDg;45
PA;Pittsburgh;15234;EXF-imcOSptiuzlirPjljA;27
ON;Whitby;L1N 2N3;V0men9Q66084A5zTq7SkqQ;3
ON;Vaughan;L4K 4A5;iTGHh1fS_QpeSHP1-1d7oA;0
