state;city;postal_code;business_id;cool_reviews
NC;Cornelius;28031;1hBmklxIBhw9nu9NjOTaQA;166
ON;Toronto;M8Z 5G3;EosRKXIGeSWFYWwpkbhNnA;8
WI;Middleton;53562;OgwN65jZebPRIPSmNpRP7A;98
NV;North Las Vegas;89031;iHepzMP8-9_AXPS-u7tolg;209
NV;Henderson;89052;RrCgc8eAKbHu-2IpQXg6Rw;306
AZ;Glendale;85301;oGASRzKGpuiP12ilQH_nKg;219
NC;Gastonia;28054;3JekfARgFuMeLTMcOpgqyQ;35
ON;Aurora;L4G 7J1;cKHg0XFBF75aeFv0T8ZWkg;11
ON;Toronto;M5B 1R4;UYop9KYT-_mJsc2bcH83jw;54
ON;Richmond Hill;L4E 1A5;CLKVkXwtfMHeBIn-Ga2KrQ;9
QC;Lasalle;H8P 1B4;pcaQDBM6r0PWTXfYZK6RdA;2
AZ;Mesa;85201;SSCH4Z2gw-hh2KZy7aH4qw;593
AZ;Phoenix;85032;EDcZRvERC22Cvw1yi4-VKg;542
AZ;Surprise;85374;CvonRhKDJaH155xhtpz_iw;147
NC;Concord;28027;mLeAFPQ9fy5pYCTp0xjJkQ;79
OH;Cleveland;44114;C6cZf419zes2W1S7MfRV6A;390
NV;Las Vegas;89118;JyxHvtj-syke7m9rbza7mA;692
AZ;Tempe;85282;PhMfnMldVKXo7HqHw6DSrg;248
QC;Montréal;H2P 1E2;_xOeoXfPUQTNlUAhXl32ug;0
ON;Concord;L4K 5W4;oPfzMA_kA9NQwG-h-JkGzA;14
AZ;Anthem;85086;vrP4jcLcZ-qhYHaFj7YTKQ;57
OH;Cleveland;44128;LMam7VLCMJfa1EoUfAv61Q;19
AZ;Phoenix;85020;8Zqh2jwtncA3N4fWEMTvZQ;231
OH;Cleveland;44113;LNsZJP6jZ11e0tDljOLPiQ;481
AZ;Phoenix;85033;TH_Vr8_LCnAXFDUqSkF-HA;118
NC;Charlotte;28262;c9SKd0bIR6nNzXOVCbOi_A;122
NV;Las Vegas;89101;2iTsRqUsPGRH1li1WVRvKQ;836
PA;Plum;15239;49taxSIx7Gwdjnr10QrnUw;11
AZ;Gilbert;85295;MVHGmZEwtKrXH11ySGweEw;345
NV;Las Vegas;89106;GHS1rVjO-RMcRB6WJLpCDQ;404
PA;Pittsburgh;15206;dLc1d1zwd1Teu2QED5TmlA;206
AZ;Scottsdale;85260;vsFFbN71ehRCp46KeR5RdQ;564
ON;Toronto;M4M 1Y3;cr__ihwxDQ7hyq2ZfX172Q;47
ON;Toronto;M2N 1M7;umDBj-8WUNkNBODa6P0G-Q;2
NV;Las Vegas;89109;RESDUcs7fIiihp38-d6_6g;2599
OH;Strongsville;44136;e_Nf4zAA1KZq80aoy3v8Ng;118
AB;Calgary;T2G 4P7;PRRHaB4zge1cqskFWvQ9ZQ;2
ON;Woodbridge;L4L 4Y5;Bom8MY07_YloY1R2EXrpdA;2
IL;Champaign;61822;5jXwI9WpDxGDmzmkmE0RTg;22
AZ;Mesa;85213;zd0Oik3Pw-2hTSDwfh6ZDw;101
ON;Toronto;M4W 1A7;hNSvyreISNd9XXrHyyaSjQ;49
QC;Montréal;H2L 1E3;0Y5Kzo8PWHTjk0tlfAKcDQ;0
OH;Rocky River;44116;as_fyujgsdwtV56n31z-Sw;101
QC;Montréal;H3B 2T6;63hkYvXXcZsHeCeZBQbfew;50
ON;Milton;L9T 0J9;-C0AlwLuXpcP609madJZQQ;0
AZ;Scottsdale;85254;ArmAaGCdCVAlkhdtaT6RzQ;271
AZ;Scottsdale;85251;3l54GTr8-E3XPbIxnF_sAA;641
ON;Toronto;M6G;_DuPG5sSEwZcgfjdndQc4A;41
NV;Las Vegas;89104;KskYqH1Bi7Z_61pH6Om8pg;1061
OH;Parma;44134;tw8I1hZdlGpwO2QaAIeQWg;80
NC;Charlotte;28273;iyFS4twFjCKfaKl7kUl3sg;138
AZ;Chandler;85286;6SxC5zBl6T7a7BgshRy7nA;157
NC;Charlotte;28277;99j5vhhtFJIefXDLsmA29Q;294
AZ;Phoenix;85053;3QQEc5QUP-h6LCkUZQEYQw;138
OH;Fairview Park;44126;acTFhUpJpWyrMmdoNFwyuA;151
AZ;Gilbert;85297;zpLOsO7DuxcwwhmHtiASWg;103
PA;Avalon;15202;j4s9X08gDTZH3MwcByfCHQ;3
NV;Las Vegas;89139;IhNASEZ3XnBHmuuVnWdIwA;629
ON;East York;M4G 4E8;IB0h7a9QmXgqXKEjVD7zOA;1
AZ;Tempe;85283;uKKNw68mZZaa1jcyszEbyA;322
AZ;Phoenix;85086;zaBk2imYnk7rG7IdOMhRmA;50
AZ;Scottsdale;85258;Iq7NqQD-sESu3vr9iEGuTA;817
QC;Montréal;H2T 2N4;t749-3jKKDyO8QH3VezUHA;17
ON;Toronto;M4C 1J6;amyNIcopp_6P1BWMrS53gA;7
AZ;Scottsdale;85250;zrDi4gEaUi64lAMfJU51dw;202
NC;Charlotte;28217;eAZqT24e0Pk8apWzy3RsAQ;137
ON;Toronto;M6G 1K1;GhvZDqLJApNYFrByjnb2cA;19
AZ;Scottsdale;85255;EpPOZAG0u7qHP-jv5HjFUg;288
NV;Las Vegas;89103;xtYiHTmunjfCN2sUaQxBjA;659
ON;Toronto;M4S 2B2;cicPsia8Wj-DNRkmLbD_xg;25
NV;Las Vegas;89144;TT658qQinO6MBHP9q7rJ8w;141
AZ;Phoenix;85022;RztX0zV7ObHZD08SDUhI0Q;116
PA;Gibsonia;15044;zaQWCvCcNj8HI4YcfLzmgw;62
ON;Toronto;M4E 1S3;0nqQIM2PvOcTX6v0L537_Q;11
ON;Mississauga;L4Y 2A6;FuO6d7IR1ee-3Bfo-gu1HQ;18
OH;Cleveland;44135;4IGaWH9jUYMtP2uHIFEqFQ;251
ON;Toronto;M6G 1A5;b7wUWVV01xaa7E0FUNMDiw;64
SC;Fort Mill;29715;qSa3L7cy8Gju4ZLs50ycag;78
ON;Mississauga;L4W 2V3;CV6edrz2Lv_kwyAGdswS2A;2
AZ;Glendale;85304;woP-omtF0PobX4JxXpZa7Q;87
AB;Calgary;T2S 1X2;ebL_y2bWGl_av4mvWoM0rg;24
NV;Las Vegas;89074;SORm6UKRlwHC6SmJZnbFEw;6
WI;Madison;53705;uC3qwaxsOkdJzpOc0v1Mog;160
QC;Montréal;H2Z 0A6;7p8-7fjCmZfNwMdSTmH9aQ;11
