state;city;postal_code;open_p50;open_p95;close_p50;close_p95
NC;Cornelius;28031;219600;408314;385200;563883
NV;North Las Vegas;89030;223200;604800;381600;473455
AZ;Mesa;85205;320400;481471;284400;440212
AZ;Gilbert;85233;331200;535679;273600;455849
NV;Las Vegas;89118;269100;432180;335700;475823
AZ;Mesa;85209;167400;423225;437400;495225
IL;Champaign;61820;228600;601256;376200;481747
ON;Toronto;M8Z 5G3;387000;387000;217800;217800
AB;Calgary;T2J 2P2;216000;216000;388800;388800
PA;Pittsburgh;15226;219600;480381;385200;451732
WI;Middleton;53562;252000;415525;352800;494525
AZ;Chandler;85226;273600;604800;331200;430036
NV;North Las Vegas;89031;225000;593110;379800;496777
NV;Henderson;89052;264600;428490;340200;466582
SC;Rock Hill;29730;233100;536759;371700;470272
AZ;Mesa;85212;237600;574560;367200;501412
AZ;Glendale;85301;305100;553507;299700;507285
NC;Gastonia;28054;162000;422549;442800;465120
ON;Aurora;L4G 7J1;273600;466019;331200;390780
ON;Toronto;M5B 1R4;268200;305460;336600;341460
NC;Charlotte;28212;280800;442023;324000;435212
AZ;Phoenix;85032;252000;455959;352800;523800
ON;Toronto;M8W 4W3;126000;126000;478800;478800
ON;Richmond Hill;L4E 1A5;219600;255240;385200;411120
QC;Lasalle;H8P 1B4;352800;352800;252000;252000
AZ;Mesa;85201;259200;516150;345600;512302
AZ;Surprise;85374;245700;392017;359100;491534
AZ;Phoenix;85006;172800;453464;432000;529995
PA;Pittsburgh;15222;253800;357120;351000;502897
NC;Concord;28027;257400;369752;347400;455506
OH;Cleveland;44114;277200;349920;327600;540393
AZ;Tempe;85282;183600;495980;421200;496530
QC;Montréal;H2P 1E2;433800;433800;171000;171000
ON;Concord;L4K 5W4;266400;305640;338400;338400
AZ;Anthem;85086;277200;538199;327600;451439
OH;Cleveland;44128;208800;472949;396000;531146
AZ;Phoenix;85020;198000;432472;406800;522990
OH;Cleveland;44113;187200;324097;417600;507239
AZ;Scottsdale;85254;214200;326756;390600;549562
AZ;Phoenix;85033;281700;514961;323100;413553
AB;Calgary;T1Y 5Y9;225000;552959;379800;420120
AZ;Phoenix;85040;194400;578880;410400;500625
NC;Charlotte;28262;230400;527129;374400;533070
NV;Las Vegas;89101;210600;595615;394200;502611
PA;Plum;15239;183600;415800;421200;513540
AZ;Gilbert;85295;248400;522787;356400;468225
NV;Las Vegas;89106;280800;424800;324000;455580
ON;Scarborough;M1T 3K5;199800;240300;405000;445500
NV;Las Vegas;89128;265500;604800;339300;470947
PA;Pittsburgh;15206;212400;340277;392400;516768
AZ;Gilbert;85297;166500;581056;438300;556469
AZ;Scottsdale;85260;219600;408892;385200;482023
NC;Charlotte;28202;162000;398989;442800;529200
ON;Toronto;M4M 1Y3;244800;343800;360000;450900
ON;Toronto;M1E 4X6;28800;28800;576000;576000
ON;Toronto;M2N 1M7;205200;279720;399600;474120
ON;Toronto;M5T 2C2;250200;487035;354600;464467
NV;Las Vegas;89109;269100;541484;335700;546570
NC;Charlotte;28277;260100;366615;344700;452966
AB;Calgary;T2P 0J8;108000;108000;496800;496800
OH;Strongsville;44136;262800;419293;342000;500760
NC;Mint Hill;28227;237600;490865;367200;524854
AB;Calgary;T2G 4P7;0;0;604800;604800
